indic_ed,unit,geo\time	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 
FP02_1,PC,EE	1.26 	1.39 	1.51 	1.43 	1.10 d	1.17 	1.23 	1.27 	1.39 	1.53 	1.54 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,EL	: 	: 	: 	: 	: 	: 	1.16 d	1.06 d	1.01 d	0.98 d	0.93 d	: du	: du	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,ES	1.23 	1.27 	1.27 	1.17 	1.10 	1.10 	1.09 	1.10 	1.10 	1.10 	1.11 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,FI	1.35 	1.36 	1.35 	1.24 	1.20 	1.28 	1.31 	1.37 	1.39 	1.34 	1.31 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,FR	1.18 	1.20 	1.19 	1.16 	1.18 	1.13 	1.15 	1.17 	1.19 	1.16 	1.20 	1.23 	1.17 d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,HR	1.75 d	1.88 d	1.86 d	1.85 d	1.81 d	1.71 d	1.84 d	1.79 	1.80 d	1.81 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,HU	0.76 	0.87 	0.86 	0.86 	1.01 	1.06 	1.10 	1.03 	1.00 	0.96 	0.96 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,IE	2.20 	2.26 d	2.30 d	2.04 d	1.73 	1.60 	1.59 	1.56 	1.49 	1.39 	1.35 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,IS	2.48 d	2.46 	2.55 d	2.52 d	2.52 d	2.61 d	2.66 d	2.60 d	2.69 d	2.65 	2.36 	2.23 	2.17 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,IT	1.06 	1.12 	1.18 	1.15 	1.07 	1.18 	1.08 	1.18 	1.21 	1.19 	1.16 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,LI	0.98 	1.19 	1.23 	0.64 	0.59 	0.64 	0.70 	0.71 	0.72 	0.69 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,LT	0.79 	0.90 	0.73 	0.73 	0.67 	0.72 	0.73 	0.74 	0.76 	1.00 	: d	: d	: d	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,LU	1.72 	1.72 	1.43 	1.21 	1.68 d	1.83 d	2.05 d	2.12 d	1.94 d	2.01 d	1.63 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,LV	1.37 	1.41 	1.58 	1.52 	1.26 	1.30 	0.80 	0.83 	0.96 	1.24 	1.40 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,MK	: 	: 	: 	: 	: 	: 	: 	: 	2.02 d	2.00 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,MT	1.18 	1.46 	1.17 	1.32 d	1.35 	1.51 	1.35 b	0.98 	0.72 	1.06 	1.11 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
FP02_1,PC,NL	1.41 	1.45 	1.47 	1.34 	1.31 	1.37 	1.42 	1.44 	1.48 	1.40 	1.31 	1.24 	1.22 	1.23 	1.16 	1.16 	1.17 	: 	: 	: 	: 
FP02_1,PC,NO	1.70 	1.83 	1.89 	1.61 	1.66 	1.66 	1.75 	1.87 	2.01 	1.93 	3.32 d	2.46 d	2.68 d	: 	: 	: 	: 	: 	: 	: 	: 
